y1,y2,x1,x2,c1,c2
-7.5532889,49.960518,-.81476361,11.364441,2.3673429,-1.9509207
36.724007,49.988235,2.690948,11.263918,2.7208357,-3.5594249
-1.6427507,64.63237,5.2804856,10.670231,5.0476341,-7.1162515
25.290688,,2.386045,-1.3931389,2.6820984,-2.4569631
28.161531,45.856014,.92550278,5.8620148,2.1666944,-4.2833695
42.382786,56.586006,3.9119947,7.5070081,3.7213893,-2.9349568
32.145374,74.770416,1.374052,12.079445,4.1170359,-2.9368491
7.5210414,52.498127,-.59721214,8.1379108,2.2844939,-10.095969
27.656557,43.24548,1.2760561,7.775075,1.3520256,-6.9339514
43.855949,69.793419,3.2506537,15.861523,3.1338029,-4.2406998
62.198215,59.863369,4.4806776,11.475684,3.4015245,-5.2272387
13.390581,45.970749,-.14880937,6.0392227,1.8136104,.07826519
37.57196,57.878685,3.8941135,8.0651779,3.5667763,-3.2479486
51.744717,58.360935,3.0537064,9.3960009,2.5929818,-3.9839156
36.638889,49.313923,3.0925524,3.2971692,5.4318533,1.4776133
14.834164,56.103107,.44009089,13.368316,3.4534998,-6.137229
29.165382,14.038325,4.1775537,1.226491,1.871159,-5.4174433
-4.1868157,43.578266,-.99914241,5.3632746,2.8400679,-7.6886702
50.764423,49.632271,4.6318922,3.6019216,4.010231,2.1777561
28.536625,54.585575,1.1131356,10.87755,3.6137733,2.5294638
27.917593,61.140709,.66609251,11.145022,3.2262516,-3.3359663
27.309767,69.874725,2.8769712,14.370316,5.2924891,-6.3899941
35.545292,47.69923,1.8758966,3.9863729,3.872082,-3.6577539
49.260212,42.432487,2.7290692,8.3793745,3.4291623,-1.6195495
8.4487305,32.068443,3.6758969,1.7193613,2.6781898,.26645648
43.552879,51.287357,4.4089904,6.2621465,4.3771539,-4.5925364
39.319633,,2.2016089,-1.0715675,4.2028327,-4.3249335
25.42964,49.096619,1.0667123,4.6935172,3.8609769,-4.4789805
33.620186,46.261265,4.0190439,5.8119564,2.4149241,.48227274
30.150204,55.297901,.96181917,9.7462368,2.5064673,-2.5820491
23.534204,,1.1520121,-.095576286,5.0581274,-.48940396
